user,text,displayed_time,datetime_value
@code_kartik,"Now that my time at @puch_ai has wrapped, I’m actively looking for full-time or internship opportunities as an AI Engineer or Software Engineer (AI). If you're building something exciting in the AI space, I'd love to be part of it. DMs open Proof of work above",Jul 16,2025-07-16T12:04:44.000Z
@SaveLibertyUS,SpaceX is looking for an AI software engineer to be a founding member of its AI software engineering team,Jul 15,2025-07-15T14:33:14.000Z
@DijobsUK,"NEW JOB: Chemical Engineer - AI Trainer: Birmingham, ENG, United Kingdom DataAnnotation We are looking for an *advanced chemist* to join our team to train AI models. You will measure the progress of these AI chatbots, evaluate… dlvr.it/TLwSMG #jobs #jobsearch #hiring",Jul 15,2025-07-15T07:10:33.000Z
@luv38376444,"If you are really looking for an AI engineer with 5 years of experience, forward your job postings, I will apply. Prior to AI, I used PlayWright and Typescript. I should be a great candidate. Previous supervisor will vouch for me, he is Indian. I'm American, post it here.",Jul 15,2025-07-14T22:27:43.000Z
@Khrisemeka,"Hi, Good evening, please is it possible to know the name of the startup? I am looking for places to do an internship at. I am a FullStack Engineer and AI Engineer",Jul 7,2025-07-07T17:59:48.000Z
@dataengbytes,"Sydney, say hi to Kaarthik Andavar. By day he’s an Intermediate Data Engineer at Tracksuit, by night an AI tinkerer always looking for ways to make data simpler for everyone. Catch him live at DataEngBytes Sydney. dataengbytes.com/sydney",Jul 7,2025-07-07T04:00:03.000Z
@bartbrejcha,Looking for Problem solving and an enquiring minds jobs.designengine.com/jobs/mechanica … Mechanical Engineer #Solidworks #engineeringjobs Encouraged to use #ai for engineering,Jul 6,2025-07-06T12:38:51.000Z
@ClickIT_Tech,"Hiring an #AIdeveloper isn’t like hiring any other engineer. You're looking for someone who understands data, frameworks, cloud, ethics, and your industry-specific goals. This guide will help you: clickittech.com/ai/hire-ai-dev … #hireAIdevelopers #AIengineers",Jul 4,2025-07-03T21:23:01.000Z
@vignesh_0330,Looking for an ML engineer who ships fast? I’ve built: • Health risk predictor (94% acc) • Resume analyzer w/ ATS PDFs • AI emotion detector for chatbots • Real-time dashboards w/ FlaskPython | Scikit-learn | PyTorch | GPT | FastAPI Let’s build your AI tool. DMs open,Jul 3,2025-07-03T14:59:45.000Z
@liqiang_ding,"Looking for feedbacks on my ai project. :) I'm Liqiang, an engineer and audiobook lover. I built AudioFlo.ai because I was always frustrated that so many great books don’t have audio versions. So I created a tool that turns ebooks into natural-sounding audiobooks",Jul 2,2025-07-02T19:00:45.000Z
@negusbrc03,"Ash wants to build “an ai company like Harvey, specifically aimed at helping the Architecture, Engineering, and Construction industry” and is looking for a co-founder. He just finished his Yale MBA and previously was a civil engineer for four years. Reach out:",Jul 2,2025-07-02T04:01:26.000Z
@omoalhajaabiola,"Ash wants to build “an ai company like Harvey, specifically aimed at helping the Architecture, Engineering, and Construction industry” and is looking for a co-founder. He just finished his Yale MBA and previously was a civil engineer for four years. Reach out:",Jul 1,2025-07-01T18:55:34.000Z
@bigBash25,"The @recallnet flagship hackathon officially kicked off yesterday with a $35,000 prize pool up for grabs! If you're an AI engineer, crypto dev, Web3 explorer, or a builder looking to break into agent-based applications — this is your moment to dive into the future of AI + crypto",Jul 1,2025-07-01T08:32:42.000Z
@devdixit07,Hey buddy are u Looking for AI engineer? This is my AI portfolio which is not just a static page but an interactive LLM -,Jul 1,2025-07-01T03:57:17.000Z
@engr_ali_nawaz,Excited to share that I’ve joined InvoZone as a Senior AI/ML Engineer! Grateful for the opportunity and the trust placed in me. Looking forward to building impactful AI solutions with an amazing team! Let’s make it count. #NewBeginnings #AI #MachineLearning #InvoZone,Jun 27,2025-06-27T03:20:20.000Z
@BorjaGVO,"What are you looking for in an AI automation engineer? Fluency with langchain, n8n? Something else?",Jun 26,2025-06-26T06:42:35.000Z
@AyoroaGabe,Building FixMate AI: an AI-powered handyman platform for Airbnb hosts/ operators Snap photo → AI diagnoses → instant quote → tech dispatched Looking for a technical co-founder or founding engineer (AI/backend)DM me. Let’s build. #startups #buildinpublic #AI #proptech,Jun 25,2025-06-25T14:59:57.000Z
@libertystrikes2,I'm an AI engineer looking for work. They don't like hiring Irish people.,Jun 24,2025-06-24T16:22:11.000Z
@Avinashabroy,[Hiring] – AI/ML Engineer D3V Technology Solutions is looking for an AI/ML Engineer to join our remote team (India-based applicants only). Details: d3vtech.com/careers/ Apply here: forms.clickup.com/8594056/f/868m …,Jun 24,2025-06-24T12:21:56.000Z
@alexcooldev,"I’ve heard of cloud-native for years. But today I saw a job post looking for an AI-native engineer had to click out of curiosity. Turns out they’re looking for someone to build products where AI is at the core not just slapped on after. Then it hit me: Wait, isn’t my product",Jun 24,2025-06-24T07:40:56.000Z
@relizarov,"Properly using AI becomes a critical skill in software engineer's performance. You can literally spend an hour carefully reviewing hundreds of lines of code with dense logic, looking for a bug, or, with a proper prompt, context, and a right model, get it found in a few minutes.",Jun 24,2025-06-23T22:25:29.000Z
@suvodeep_dev,"I’m a full-stack developer and AI Engineer specializing in building AI-powered web applications and SaaS tools. Currently developing DeepHire — an AI voice interview app. If you’re looking for reliable freelance help with React, Next.js, Python, or AI projects, feel free to DM me",Jun 23,2025-06-23T06:29:02.000Z
@FJ000RD,Your expertise isn't becoming obsolete; it's becoming more critical. Anyone can talk to a chatbot. Only an engineer can build a scalable system of them. Stop looking for the smartest model. Start building the smartest system. Follow me if you build AI systems that actually,Jun 18,2025-06-18T16:54:30.000Z
@UniverseOfWeb3,"#hiring! @VAYUZTech is looking for an AI Prompt Engineer to join the team! Know more and apply here: tinyurl.com/bparhu7z Go to the dashboard and click ""All Jobs"" to apply based on your profile! #AI #Prompt #Engineer #Jobs #Web3Universe #JobOpportunity #fulltime #vayuz",Jun 18,2025-06-18T11:48:39.000Z
@alex_teichman,If you’re an AI engineer in SF looking for something new hmu,Jun 17,2025-06-17T04:45:33.000Z
@mihail_eric,"Are you a CS grad looking for an AI engineering job? Here’s the #1 skill you should focus on: Systems evaluation. I’ve interviewed 112 AI engineer candidates. Most were talented. Many were great developers. If they fell short here, they got rejected. 𝗦𝗼, 𝘄𝗵𝗮𝘁 𝗶𝘀",Jun 16,2025-06-16T17:05:18.000Z
@forgestudioai,We're Currently seeking a technical co-founder to join us. Looking for someone who's: -An experienced backend Engineer -Has experience with AI/ML -Cares about design -In the US (Preferably NYC) DM if interested,Jun 9,2025-06-08T22:27:24.000Z
@brentmwarner,Currently seeking a technical co-founder to join us at forgestudio.ai Looking for someone who's: -An experienced backend Engineer -Has experience with AI/ML -Cares about design -In the US (Preferably NYC) DM me here if you're interested,Jun 9,2025-06-08T22:26:23.000Z
@n00buntu,> Looking for an engineer with experience in running small LLMs on phone chip sets. @comma_ai this sounds like your wheelhouse!,Jun 7,2025-06-06T21:36:00.000Z
@HireWithNear,"The cost of hiring an AI engineer in 2025 might shock you. A mid-level AI engineer in the US? $139,000 a year. Add benefits, taxes, and perks—and you’re looking at 30–40% more. This is why companies are looking to regions like Latin America, India, and Poland for top-tier",Jun 5,2025-06-05T17:00:09.000Z
@jobsincrypto,. @InstituteFT is hiring! Institute of Free Technology is looking for an AI Operations Specialist to join their talented team and help build the decentralized future. AI Operations Specialist Remote Full-Time $60K – $90K Apply now,Jun 5,2025-06-05T06:00:25.000Z
@jevakallio,"We're also looking for an ""AI Engineer"" (whatever that is ) to help us build the infra behind Marker's intelligent editorial assistants. This is a full-stack role, building on Cloudflare. London, £100-£150k, flex in site and comp for exceptional fit writewithmarker.com/jobs/ai-engine …",Jun 3,2025-06-03T14:15:44.000Z
@ChalkboardMav,LOOKING FOR FEEDBACK… I’m thinking about creating an “AI prompt engineer” course for kids. The value is to teach kids to “BUILD SOMETHING” rather than…Simply “write essays for school”… I mean the teachers create assignments and mark them using AI….kids are writing using,Jun 3,2025-06-03T00:40:26.000Z
@BenCostaTesla,"I'm looking to immediately hire an Autopilot Test Engineer in Tempe, AZ. Looking for someone with ADAS L2+, python scripting, and vehicle in loop testing experience to help accelerate productionization of Robotaxi. @Tesla_AI @Tesla",Jun 3,2025-06-02T22:21:23.000Z
@j_apollum,i am looking for an AI Engineer who have exp in AI-centric blockchain app.,Jun 2,2025-06-02T16:46:19.000Z
@VamZKrsna,"cfbr bruv , also if a recruiter is reading this, iam an ai engineer looking for an entry level role. Here's my GitHub:",Jun 2,2025-06-02T15:11:57.000Z
@GabGarrett,What evidence are you specifically looking for? My life is completely changed as an engineer and every engineer I teach how to use AI agentic coding tools suddenly have much much more free time and are much happier,May 31,2025-05-31T13:55:58.000Z
@juliankmazo,"If you're thinking about how to become an AI engineer and looking for your next adventure, you should watch @janvikalra_ 's interview!",May 30,2025-05-30T14:39:36.000Z
@jonsantillan,"Looking for help @buildinpublic We’ve been using @cursor_ai for a while, but I know we’re only scratching the surface. Looking for an engineer who actually codes with Cursor or @windsurf_ai daily and knows how to get the most out of it. We’re looking for someone who can:",May 30,2025-05-30T08:38:04.000Z
@ohogroup,"Job Opportunity for an AI Engineer! An exciting, well-funded start-up is looking for an AI Engineer to join their fast-growing team. You will be working with the CEO, and help shape the business as it grows. Apply now! buff.ly/5JIPo0J",May 28,2025-05-28T09:01:34.000Z
@gafyndavies,"The state of music today! I found this on a job board - ""We are looking for a skilled musician or audio engineer to add an AI-generated cello part to the end of our song track."" Why do they need a skilled musician if the part needs to be AI generated?",May 28,2025-05-28T07:03:00.000Z
@abielzulio,"i'm looking for an AI engineer specialized in GPU optimization: → gross salary up to IDR 17 million/mo → 3 days WFO → Indonesian-based company, global market if this sounds exciting for you, send me a CV!",May 27,2025-05-27T11:30:40.000Z
@manojnandanwar_,"We’re looking for an AI/ML Engineer If you think in algorithms and love training models, we want you! Apply at: hr@genixbit.com #ArtificialIntelligence #MachineLearning #AIJobs #Hiring",May 27,2025-05-27T03:50:16.000Z
@WilliamsComment,"Fantastic. I'm looking forward to it. DM me if you prefer. I used to be a recording engineer. Cancer altered my voice some years ago, so singing for me is not an option. So, I use AI instead of musicians.",May 27,2025-05-27T01:40:47.000Z
@TambiYash78,@julianweisser I’m looking for Founding Engineer roles using AI tools. Have been working as a Founding Engineer for past 3 months; built an ios app in just 3 weeks to MVP!,May 26,2025-05-26T20:24:27.000Z
